time[s],wz1[dps],wz2[dps],wz3[dps],fz1[mps2],fz2[mps2],fz3[mps2]
3.0000,-0.00193409,+0.00349380,-0.00122839,+0.090694,+9.810749,+0.275725
3.0100,-0.00193409,+0.00349380,-0.00122839,+0.090694,+9.810749,+0.275725
3.0200,-0.00193409,+0.00349380,-0.00122839,+0.090694,+9.810749,+0.275725
3.0300,-0.00193409,+0.00349380,-0.00122839,+0.090694,+9.810749,+0.275725
3.0400,-0.00193409,+0.00349380,-0.00122839,+0.090694,+9.810749,+0.275725
3.0500,-0.00193409,+0.00349380,-0.00122839,+0.090694,+9.810749,+0.275725
3.0600,-0.00193409,+0.00349380,-0.00122839,+0.090694,+9.810749,+0.275725
3.0700,-0.00193409,+0.00349380,-0.00122839,+0.090694,+9.810749,+0.275725
3.0800,-0.00193409,+0.00349380,-0.00122839,+0.090694,+9.810749,+0.275725
3.0900,-0.00193409,+0.00349380,-0.00122839,+0.090694,+9.810749,+0.275725
3.1000,-0.00193409,+0.00349380,-0.00122839,+0.090694,+9.810749,+0.275725
3.1100,-0.00193409,+0.00349380,-0.00122839,+0.090694,+9.810749,+0.275725
